date,amount,month,quarter,year,week_of_year,week_of_month,lag_1,lag_2,lag_4,rolling_mean_4,rolling_std_4,rolling_mean_8,rolling_std_8,rolling_mean_12,rolling_std_12,pct_change
2020-04-05,390.0,4,2,2020,14,1,422.0,60.0,200.0,353.475,293.02065200255083,555.1125,318.0847840143074,528.8249999999999,268.7525124618288,-0.07582938388625593
2020-04-12,180.0,4,2,2020,15,2,390.0,422.0,731.9,400.975,274.6742358382623,478.3625,263.7323206667809,536.7416666666667,262.5665645761724,-0.5384615384615384
2020-04-19,400.0,4,2,2020,16,3,180.0,390.0,60.0,263.0,172.73100474437126,437.2375,283.2047615494586,512.5749999999999,281.90182728615423,1.2222222222222223
2020-04-26,370.0,4,2,2020,17,4,400.0,180.0,422.0,348.0,112.79479893446629,397.3625,259.31529588239,490.2416666666666,279.07084619674924,-0.07499999999999996
2020-05-03,865.0,5,2,2020,18,1,370.0,400.0,390.0,335.0,104.08329997330668,344.2375,203.8087194090157,481.7416666666666,281.2220425161756,1.3378378378378377
2020-05-10,320.0,5,2,2020,19,2,865.0,370.0,180.0,453.75,290.95747111906235,427.3625,263.4596631500596,470.1583333333333,259.80190165982344,-0.630057803468208
2020-05-17,1420.0,5,2,2020,20,3,320.0,865.0,400.0,488.75,252.99456515901682,375.875,234.04910199113596,454.4083333333333,262.9430303259047,3.4375
2020-05-24,680.0,5,2,2020,21,4,1420.0,320.0,370.0,743.75,513.5720494730997,545.875,404.0284422449206,512.8249999999999,379.2262268572199,-0.5211267605633803
2020-05-31,648.5,5,2,2020,22,5,680.0,1420.0,865.0,821.25,458.8459254840706,578.125,403.0237275893319,503.2416666666666,372.846606183326,-0.04632352941176465
2020-06-07,1168.88,6,2,2020,23,1,648.5,680.0,320.0,767.125,464.6967425106399,610.4375,396.0890445972976,540.6166666666667,362.007319949431,0.8024363916730919
2020-06-14,605.0,6,2,2020,24,2,1168.88,648.5,1420.0,979.345,378.22664647007616,734.0475,396.87202801586886,577.0316666666668,402.6904035661173,-0.4824105126274725
2020-06-21,721.0,6,2,2020,25,3,605.0,1168.88,680.0,775.595,263.98692410799435,759.6725,378.4110097971706,622.4483333333334,368.34563466775046,0.19173553719008263
2020-06-28,740.0,6,2,2020,26,4,721.0,605.0,648.5,785.845,259.8007238250117,803.5475,345.7114871330057,647.3650000000001,363.6364800306633,0.026352288488210807
2020-07-05,724.0,7,3,2020,27,1,740.0,721.0,1168.88,808.72,247.40944525219723,787.9225,345.36187570844754,676.5316666666668,355.05217956682304,-0.021621621621621623
2020-07-12,290.0,7,3,2020,28,2,724.0,740.0,605.0,697.5,62.22807512155009,838.4225,292.6861791724567,721.8650000000001,318.76619612328585,-0.5994475138121547
2020-07-19,20.0,7,3,2020,29,3,290.0,724.0,721.0,618.75,219.32529113928763,697.1725,239.81503180278642,712.6983333333334,330.23858212547253,-0.9310344827586207
2020-07-26,875.0,7,3,2020,30,4,20.0,290.0,740.0,443.5,350.95441299405246,614.6725,339.41050710859605,683.5316666666668,375.59809666071465,42.75
2020-08-02,869.0,8,3,2020,31,1,875.0,20.0,724.0,477.25,392.95069665290066,642.985,351.85422561867057,684.3650000000001,376.04814315819635,-0.006857142857142895
2020-08-09,1350.0,8,3,2020,32,2,869.0,875.0,290.0,513.5,428.39117637971947,605.5,299.9728559148549,730.1150000000001,360.77514348212173,0.5535097813578826
2020-08-16,74.0,8,3,2020,33,3,1350.0,869.0,20.0,778.5,553.6054551754345,698.625,399.0681780276219,724.2816666666668,348.97948785340424,-0.9451851851851851
2020-08-23,460.0,8,3,2020,34,4,74.0,1350.0,875.0,792.0,529.0576528129991,617.75,455.4616966802556,673.7816666666668,396.57120103189396,5.216216216216216
2020-08-30,195.0,8,3,2020,35,5,460.0,74.0,869.0,688.25,547.7179170582851,582.75,455.48365189417854,658.0733333333334,401.36792346658547,-0.5760869565217391
2020-09-06,505.0,9,3,2020,36,1,195.0,460.0,1350.0,519.75,576.4953743671033,516.625,470.20905305133016,576.9166666666666,386.89144785616855,1.5897435897435899
2020-09-13,125.0,9,3,2020,37,2,505.0,195.0,74.0,308.5,207.7153500987989,543.5,461.4687731270975,568.5833333333334,387.3083005784535,-0.7524752475247525
2020-09-20,275.0,9,3,2020,38,3,125.0,505.0,460.0,321.25,189.269428769325,556.625,445.6753903587549,518.9166666666666,403.84728399220256,1.2000000000000002
2020-09-27,560.0,9,3,2020,39,4,275.0,125.0,195.0,275.0,165.12621435334424,481.625,434.7964835907222,480.1666666666667,403.0133842427418,1.0363636363636362
2020-10-04,746.9,10,4,2020,40,1,560.0,275.0,505.0,366.25,202.7467632294038,443.0,408.39126897061425,466.5,396.72465835318894,0.33375
2020-10-11,854.0,10,4,2020,41,2,746.9,560.0,125.0,426.725,279.48327767506936,367.6125,236.55987123468648,504.575,400.1557017984601,0.14339268978444242
2020-10-18,160.0,10,4,2020,42,3,854.0,746.9,275.0,608.975,253.63911863117625,465.1125,258.02505657673754,574.0749999999999,380.2741047885423,-0.8126463700234192
2020-10-25,80.0,10,4,2020,43,4,160.0,854.0,560.0,580.225,305.35848195195086,427.6125,279.7590822603314,514.4916666666667,384.8249317625621,-0.5
