date,amount,month,quarter,year,week_of_year,week_of_month,lag_1,lag_2,lag_4,rolling_mean_4,rolling_std_4,rolling_mean_8,rolling_std_8,rolling_mean_12,rolling_std_12,pct_change
2020-04-05,550.0,4,2,2020,14,1,422.0,60.0,200.0,260.975,163.5275792234051,1184.7375,1537.8881651124236,960.5749999999999,1273.644899937327,0.3033175355450237
2020-04-12,180.0,4,2,2020,15,2,550.0,422.0,361.9,348.475,207.69874618462916,702.1125,818.2216699953624,981.8249999999999,1263.6184566013733,-0.6727272727272727
2020-04-19,400.0,4,2,2020,16,3,180.0,550.0,60.0,303.0,223.12029640233766,660.9875,837.3585858221073,944.3249999999999,1281.5585377507414,1.2222222222222223
2020-04-26,370.0,4,2,2020,17,4,400.0,180.0,422.0,388.0,153.63159397294228,601.1125,836.6677706191728,923.3249999999999,1288.8281831500344,-0.07499999999999996
2020-05-03,963.0,5,2,2020,18,1,370.0,400.0,550.0,375.0,151.9868415357077,317.9875,158.35187253617704,914.8249999999999,1292.4067134437773,1.6027027027027025
2020-05-10,320.0,5,2,2020,19,2,963.0,370.0,180.0,478.25,337.52864076006,413.3625,268.56128822991917,627.4916666666667,685.0230327359717,-0.667705088265836
2020-05-17,1620.0,5,2,2020,20,3,320.0,963.0,400.0,513.25,301.64369157445833,408.125,270.11237740720225,611.7416666666667,690.1486143753697,4.0625
2020-05-24,2202.7,5,2,2020,21,4,1620.0,320.0,370.0,818.25,609.0803860465932,603.125,471.16495064285635,673.4916666666667,747.04005668229,0.3596913580246912
2020-05-31,648.5,5,2,2020,22,5,2202.7,1620.0,963.0,1276.425,814.250814655206,825.7125,725.4010938537971,637.4666666666667,647.6634147362957,-0.705588595814228
2020-06-07,1787.88,6,2,2020,23,1,648.5,2202.7,320.0,1197.8,868.013091299127,838.025,720.8746012409407,674.8416666666667,632.8958588156987,1.756946800308404
2020-06-14,605.0,6,2,2020,24,2,1787.88,648.5,1620.0,1564.77,658.1119010219055,1039.01,735.2054322821224,793.6733333333333,699.1942839548617,-0.6616103989082042
2020-06-21,644.0,6,2,2020,25,3,605.0,1787.88,2202.7,1311.02,808.2668026503788,1064.635,712.9883758419305,839.09,664.0213644700957,0.06446280991735542
2020-06-28,920.0,6,2,2020,26,4,644.0,605.0,648.5,921.345,578.0201000830335,1098.885,680.7032590952219,857.59,654.3669485707683,0.4285714285714286
2020-07-05,1330.0,7,3,2020,27,1,920.0,644.0,1787.88,989.22,550.5909131106325,1093.51,682.097864113773,888.4233333333333,647.2341296110193,0.44565217391304346
2020-07-12,290.0,7,3,2020,28,2,1330.0,920.0,605.0,874.75,334.3205796836326,1219.76,607.9120911071644,984.2566666666667,617.2483074734092,-0.7819548872180451
2020-07-19,20.0,7,3,2020,29,3,290.0,1330.0,644.0,796.0,439.5725196142273,1053.51,662.2525277522808,975.09,627.4463640387559,-0.9310344827586207
2020-07-26,979.0,7,3,2020,30,4,20.0,290.0,920.0,640.0,594.8108943185223,780.6725,563.4120195419026,945.9233333333333,665.1338213859791,47.95
2020-08-02,1084.0,8,3,2020,31,1,979.0,20.0,1330.0,654.75,604.7177716367642,821.985,564.451968423481,947.2566666666667,665.1872001629364,0.10725229826353422
2020-08-09,3444.42,8,3,2020,32,2,1084.0,979.0,290.0,593.25,519.6841188003859,734.0,431.6099429544486,1010.9233333333333,635.5971139492426,2.177509225092251
2020-08-16,74.0,8,3,2020,33,3,3444.42,1084.0,20.0,1381.855,1456.0028814417458,1088.9275,1043.7540305722005,1162.9583333333333,939.8924769242429,-0.978515976564995
2020-08-23,460.0,8,3,2020,34,4,74.0,3444.42,979.0,1395.355,1439.3215800392443,1017.6775,1096.5831467628368,985.5666666666666,926.6032998129474,5.216216216216216
2020-08-30,195.0,8,3,2020,35,5,460.0,74.0,1084.0,1265.605,1510.9750794657953,960.1775,1114.352822067589,969.8583333333332,934.4018889091408,-0.5760869565217391
2020-09-06,1565.0,9,3,2020,36,1,195.0,460.0,3444.42,1043.355,1608.8061321261387,818.3025,1132.6438908494456,837.1183333333333,920.6708467380369,7.0256410256410255
2020-09-13,125.0,9,3,2020,37,2,1565.0,195.0,74.0,573.5,680.3717121299704,977.6775,1137.379556219973,917.1183333333333,940.1699889027163,-0.9201277955271565
2020-09-20,275.0,9,3,2020,38,3,125.0,1565.0,460.0,586.25,668.2611141362838,990.8025,1125.29109785297,873.8683333333333,965.4733539172599,1.2000000000000002
2020-09-27,530.0,9,3,2020,39,4,275.0,125.0,195.0,540.0,686.0757975617568,902.8025,1153.5189827127124,820.1183333333333,980.5088274771452,0.9272727272727272
2020-10-04,2406.9,10,4,2020,40,1,530.0,275.0,1565.0,623.75,649.389136034782,833.5525,1157.7087577470793,753.4516666666667,969.827968267225,3.541320754716981
2020-10-11,5484.0,10,4,2020,41,2,2406.9,530.0,125.0,834.225,1061.6955319205222,703.8625,837.1946572375759,929.86,1065.6578979971184,1.2784494578087995
2020-10-18,160.0,10,4,2020,42,3,5484.0,2406.9,275.0,2173.975,2402.7261882772523,1380.1125,1840.059762567898,1385.1933333333334,1649.1402415106174,-0.9708242159008024
2020-10-25,80.0,10,4,2020,43,4,160.0,5484.0,530.0,2145.225,2433.513400243908,1342.6125,1864.386417976626,1316.9433333333334,1684.056461692926,-0.5
