date,amount
2020-01-31,1999.0
2020-02-29,8484.0
2020-03-31,1043.9
2020-04-30,2184.0
2020-05-31,5070.2
2020-06-30,3986.88
2020-07-31,2799.0
2020-08-31,5082.42
2020-09-30,2776.9
2020-10-31,8524.0
2020-11-30,3517.0
2020-12-31,2344.01
2021-01-31,2501.32
2021-02-28,794.8399999999999
2021-03-31,21748.0
2021-04-30,8266.0
2021-05-31,3163.0
2021-06-30,10593.0
2021-07-31,1005.0
2021-08-31,958.0
2021-09-30,1500.0
2021-10-31,1779.0
2021-11-30,7461.0
2021-12-31,7995.0
2022-01-31,4964.9
2022-02-28,1951.0
2022-03-31,1660.0
2022-04-30,3544.1
2022-05-31,2227.0
2022-06-30,1615.0
2022-07-31,12266.0
2022-08-31,4025.0
2022-09-30,7696.780000000001
2022-10-31,514.0
2022-11-30,2204.82
2022-12-31,386.0
2023-01-31,5849.0
2023-02-28,675.0
2023-03-31,975.0
2023-04-30,1054.0
2023-05-31,12098.0
2023-06-30,1788.27
2023-07-31,6163.0
2023-08-31,954.0
2023-09-30,2167.0
2023-10-31,1440.6
2023-11-30,3766.0
2023-12-31,5287.27
2024-01-31,5774.9
2024-02-29,2402.0
2024-03-31,2049.0
2024-04-30,6598.82
2024-05-31,1804.0
2024-06-30,8366.0
2024-07-31,8868.0
2024-08-31,4964.9
2024-09-30,6306.0
2024-10-31,5083.0
2024-11-30,11063.0
2024-12-31,665.0
