date,actual,prophet,residuals
2020-01-31,1999.0,3268.32,-1269.32
2020-02-29,8484.0,3266.26,5217.74
2020-03-31,1043.9,2242.54,-1198.64
2020-04-30,2184.0,4980.2,-2796.2
2020-05-31,5070.2,2677.63,2392.57
2020-06-30,3986.88,6282.75,-2295.87
2020-07-31,2799.0,3893.24,-1094.24
2020-08-31,5082.42,5073.5,8.92
2020-09-30,2776.9,2479.9,297.0
2020-10-31,8524.0,5651.87,2872.13
2020-11-30,3517.0,4808.11,-1291.11
2020-12-31,2344.01,3525.72,-1181.71
2021-01-31,2501.32,2135.78,365.54
2021-02-28,794.8399999999999,2936.57,-2141.73
2021-03-31,21748.0,21707.93,40.07
2021-04-30,8266.0,4605.96,3660.04
2021-05-31,3163.0,3759.91,-596.91
2021-06-30,10593.0,5545.33,5047.67
2021-07-31,1005.0,4484.45,-3479.45
2021-08-31,958.0,3351.99,-2393.99
2021-09-30,1500.0,3489.23,-1989.23
2021-10-31,1779.0,4327.26,-2548.26
2021-11-30,7461.0,4107.04,3353.96
2021-12-31,7995.0,3624.08,4370.92
2022-01-31,4964.9,4755.44,209.46
2022-02-28,1951.0,2880.57,-929.57
2022-03-31,1660.0,1780.39,-120.39
2022-04-30,3544.1,4370.32,-826.22
2022-05-31,2227.0,6480.93,-4253.93
2022-06-30,1615.0,4684.8,-3069.8
2022-07-31,12266.0,6430.1,5835.9
2022-08-31,4025.0,1952.53,2072.47
2022-09-30,7696.780000000001,6220.32,1476.46
2022-10-31,514.0,2060.14,-1546.14
2022-11-30,2204.82,4300.6,-2095.78
2022-12-31,386.0,3699.43,-3313.43
2023-01-31,5849.0,4785.54,1063.46
2023-02-28,675.0,306.65,368.35
2023-03-31,975.0,1247.05,-272.05
2023-04-30,1054.0,1415.16,-361.16
2023-05-31,12098.0,9224.97,2873.03
2023-06-30,1788.27,736.94,1051.33
2023-07-31,6163.0,8061.25,-1898.25
2023-08-31,954.0,1027.08,-73.08
2023-09-30,2167.0,2164.2,2.8
2023-10-31,1440.6,-89.46,1530.06
2023-11-30,3766.0,3601.16,164.84
2023-12-31,5287.27,4871.99,415.28
2024-01-31,5774.9,6464.64,-689.74
2024-02-29,2402.0,3113.13,-711.13
2024-03-31,2049.0,1187.32,861.68
2024-04-30,6598.82,6558.82,40.0
2024-05-31,1804.0,1907.38,-103.38
2024-06-30,8366.0,8956.08,-590.08
