date,amount
2020-01-31,1855.0
2020-02-29,3077.0
2020-03-31,1413.9
2020-04-30,1866.0
2020-05-31,3407.5
2020-06-30,3318.88
2020-07-31,2035.0
2020-08-31,2773.0
2020-09-30,1746.9
2020-10-31,2154.0
2020-11-30,2543.0
2020-12-31,1815.01
2021-01-31,1705.99
2021-02-28,794.8399999999999
2021-03-31,3064.0
2021-04-30,3006.0
2021-05-31,1868.0
2021-06-30,3030.02
2021-07-31,1030.0
2021-08-31,958.0
2021-09-30,1426.0
2021-10-31,1121.0
2021-11-30,3404.0
2021-12-31,2315.0
2022-01-31,1805.9
2022-02-28,1701.22
2022-03-31,1695.0
2022-04-30,2298.1
2022-05-31,1964.0
2022-06-30,1305.0
2022-07-31,1953.2
2022-08-31,1978.0
2022-09-30,3188.0
2022-10-31,593.0
2022-11-30,1958.0
2022-12-31,386.0
2023-01-31,2648.0
2023-02-28,715.0
2023-03-31,905.0
2023-04-30,954.0
2023-05-31,1053.0
2023-06-30,1308.27
2023-07-31,1854.0
2023-08-31,663.0
2023-09-30,907.0
2023-10-31,1030.6
2023-11-30,1839.0
2023-12-31,1068.27
2024-01-31,2365.12
2024-02-29,1732.0
2024-03-31,1730.0
2024-04-30,1918.0
2024-05-31,1484.0
2024-06-30,3651.0
