date,amount
2020-01-05,295.0
2020-01-19,470.0
2020-01-26,668.0
2020-02-02,472.0
2020-02-09,1004.0
2020-02-16,509.0
2020-02-23,719.0
2020-03-01,795.0
2020-03-08,200.0
2020-03-15,731.9
2020-03-22,60.0
2020-03-29,422.0
2020-04-05,390.0
2020-04-12,180.0
2020-04-19,400.0
2020-04-26,370.0
2020-05-03,865.0
2020-05-10,320.0
2020-05-17,1420.0
2020-05-24,680.0
2020-05-31,648.5
2020-06-07,1168.88
2020-06-14,605.0
2020-06-21,721.0
2020-06-28,740.0
2020-07-05,724.0
2020-07-12,290.0
2020-07-19,20.0
2020-07-26,875.0
2020-08-02,869.0
2020-08-09,1350.0
2020-08-16,74.0
2020-08-23,460.0
2020-08-30,195.0
2020-09-06,505.0
2020-09-13,125.0
2020-09-20,275.0
2020-09-27,560.0
2020-10-04,746.9
2020-10-11,854.0
2020-10-18,160.0
2020-10-25,80.0
2020-11-01,770.0
2020-11-08,330.0
2020-11-15,928.0
2020-11-22,610.0
2020-11-29,535.0
2020-12-06,619.0
2020-12-13,125.0
2020-12-20,746.01
2020-12-27,290.0
2021-01-03,70.0
2021-01-10,150.0
2021-01-17,580.0
2021-01-24,440.99
2021-01-31,500.0
2021-02-07,50.0
2021-02-14,454.84
2021-02-21,175.0
2021-02-28,115.0
2021-03-07,779.0
2021-03-14,485.0
2021-03-21,1435.0
2021-03-28,325.0
2021-04-04,754.0
2021-04-11,490.0
2021-04-18,635.0
2021-04-25,684.0
2021-05-02,543.0
2021-05-09,649.0
2021-05-16,365.0
2021-05-23,70.0
2021-05-30,679.0
2021-06-06,240.0
2021-06-13,310.0
2021-06-20,1510.0
2021-06-27,810.0
2021-07-04,465.02
2021-07-11,375.0
2021-07-18,105.0
2021-07-25,55.0
2021-08-01,235.0
2021-08-08,170.0
2021-08-15,140.0
2021-08-22,300.0
2021-08-29,348.0
2021-09-05,35.0
2021-09-12,560.0
2021-09-19,596.0
2021-09-26,200.0
2021-10-03,35.0
2021-10-10,45.0
2021-10-17,175.0
2021-10-24,550.0
2021-10-31,351.0
2021-11-07,1396.0
2021-11-21,1669.0
2021-11-28,339.0
2021-12-05,728.0
2021-12-12,500.0
2021-12-19,575.0
2021-12-26,342.0
2022-01-02,205.0
2022-01-09,879.0
2022-01-16,311.0
2022-01-23,525.9
2022-01-30,55.0
2022-02-06,144.0
2022-02-13,710.22
2022-02-20,375.0
2022-02-27,472.0
2022-03-06,110.0
2022-03-13,90.0
2022-03-20,790.0
2022-03-27,135.0
2022-04-03,1160.2
2022-04-10,320.0
2022-04-17,340.0
2022-04-24,1012.9
2022-05-01,35.0
2022-05-08,1110.0
2022-05-15,470.0
2022-05-22,82.0
2022-05-29,267.0
2022-06-05,425.0
2022-06-12,80.0
2022-06-19,165.0
2022-06-26,530.0
2022-07-03,820.0
2022-07-10,95.0
2022-07-17,64.0
2022-07-24,439.2
2022-07-31,675.0
2022-08-07,455.0
2022-08-14,10.0
2022-08-21,333.0
