date,amount
2020-01-05,295.0
2020-01-19,630.0
2020-01-26,652.0
2020-02-02,472.0
2020-02-09,4411.0
2020-02-16,509.0
2020-02-23,879.0
2020-03-01,2635.0
2020-03-08,200.0
2020-03-15,361.9
2020-03-22,60.0
2020-03-29,422.0
2020-04-05,550.0
2020-04-12,180.0
2020-04-19,400.0
2020-04-26,370.0
2020-05-03,963.0
2020-05-10,320.0
2020-05-17,1620.0
2020-05-24,2202.7
2020-05-31,648.5
2020-06-07,1787.88
2020-06-14,605.0
2020-06-21,644.0
2020-06-28,920.0
2020-07-05,1330.0
2020-07-12,290.0
2020-07-19,20.0
2020-07-26,979.0
2020-08-02,1084.0
2020-08-09,3444.42
2020-08-16,74.0
2020-08-23,460.0
2020-08-30,195.0
2020-09-06,1565.0
2020-09-13,125.0
2020-09-20,275.0
2020-09-27,530.0
2020-10-04,2406.9
2020-10-11,5484.0
2020-10-18,160.0
2020-10-25,80.0
2020-11-01,850.0
2020-11-08,330.0
2020-11-15,1088.0
2020-11-22,969.0
2020-11-29,990.0
2020-12-06,709.0
2020-12-13,105.0
2020-12-20,1205.01
2020-12-27,290.0
2021-01-03,70.0
2021-01-10,150.0
2021-01-17,816.32
2021-01-24,1000.0
2021-01-31,500.0
2021-02-07,50.0
2021-02-14,454.84
2021-02-21,175.0
2021-02-28,115.0
2021-03-07,3439.0
2021-03-14,1795.0
2021-03-21,16254.0
2021-03-28,220.0
2021-04-04,914.0
2021-04-11,490.0
2021-04-18,725.0
2021-04-25,4034.0
2021-05-02,2203.0
2021-05-09,1309.0
2021-05-16,365.0
2021-05-23,45.0
2021-05-30,1339.0
2021-06-06,240.0
2021-06-13,310.0
2021-06-20,4199.0
2021-06-27,5729.0
2021-07-04,420.0
2021-07-11,360.0
2021-07-18,105.0
2021-07-25,45.0
2021-08-01,235.0
2021-08-08,170.0
2021-08-15,140.0
2021-08-22,300.0
2021-08-29,348.0
2021-09-05,35.0
2021-09-12,560.0
2021-09-19,670.0
2021-09-26,200.0
2021-10-03,35.0
2021-10-10,45.0
2021-10-17,175.0
2021-10-24,1208.0
2021-10-31,351.0
2021-11-07,3274.0
2021-11-21,3848.0
2021-11-28,339.0
2021-12-05,1388.0
2021-12-12,5160.0
2021-12-19,935.0
2021-12-26,342.0
2022-01-02,205.0
2022-01-09,878.0
2022-01-16,311.0
2022-01-23,3685.9
2022-01-30,55.0
2022-02-06,144.0
2022-02-13,700.0
2022-02-20,375.0
2022-02-27,732.0
2022-03-06,110.0
2022-03-13,90.0
2022-03-20,800.0
2022-03-27,135.0
2022-04-03,1115.2
2022-04-10,320.0
2022-04-17,376.0
2022-04-24,2222.9
2022-05-01,35.0
2022-05-08,1200.0
2022-05-15,650.0
2022-05-22,80.0
2022-05-29,262.0
2022-06-05,565.0
2022-06-12,80.0
2022-06-19,165.0
2022-06-26,700.0
2022-07-03,10692.0
2022-07-10,95.0
2022-07-17,64.0
2022-07-24,880.0
2022-07-31,675.0
2022-08-07,545.0
2022-08-14,10.0
2022-08-21,313.0
2022-08-28,1295.0
2022-09-04,2182.0
2022-09-11,345.0
2022-09-18,943.0
2022-09-25,1175.0
2022-10-02,4948.780000000001
2022-10-09,34.0
2022-10-16,85.0
2022-10-23,290.0
2022-10-30,10.0
2022-11-06,886.8199999999999
2022-11-13,694.0
2022-11-20,509.0
2022-11-27,130.0
2022-12-04,155.0
2022-12-11,65.0
2022-12-18,45.0
2022-12-25,111.0
2023-01-01,55.0
2023-01-08,3000.0
2023-01-15,60.0
2023-01-22,2265.0
2023-01-29,459.0
2023-02-05,210.0
2023-02-12,156.0
2023-02-19,60.0
2023-02-26,304.0
2023-03-05,470.0
2023-03-12,110.0
2023-03-19,230.0
2023-03-26,85.0
2023-04-02,120.0
2023-04-09,540.0
2023-04-16,160.0
2023-04-23,60.0
2023-04-30,264.0
2023-05-07,158.0
2023-05-14,40.0
2023-05-21,190.0
2023-05-28,11700.0
2023-06-04,90.0
2023-06-11,1360.0
2023-06-18,135.0
2023-06-25,183.27
2023-07-02,50.0
2023-07-09,4939.0
2023-07-16,534.0
2023-07-23,590.0
2023-07-30,80.0
2023-08-06,671.0
2023-08-13,95.0
2023-08-20,10.0
2023-08-27,88.0
2023-09-03,165.0
2023-09-10,35.0
2023-09-17,1823.0
2023-09-24,179.0
2023-10-01,55.0
2023-10-08,400.5
2023-10-15,136.5
2023-10-22,80.0
2023-10-29,800.0
2023-11-05,2530.6
2023-11-12,409.0
2023-11-19,90.0
2023-11-26,610.0
2023-12-03,150.0
2023-12-10,155.0
2023-12-17,103.27000000000001
2023-12-24,90.0
2023-12-31,4939.0
2024-01-07,225.0
2024-01-14,3839.9
2024-01-21,710.0
2024-01-28,400.0
2024-02-04,615.0
2024-02-11,182.0
2024-02-18,400.0
2024-02-25,560.0
2024-03-03,1435.0
2024-03-10,770.0
2024-03-17,294.0
2024-03-24,60.0
2024-03-31,735.0
2024-04-07,839.8199999999999
2024-04-14,5444.0
2024-04-21,110.0
2024-04-28,205.0
2024-05-05,715.0
2024-05-19,270.0
2024-05-26,260.0
2024-06-02,788.0
2024-06-09,1265.0
2024-06-16,2523.0
2024-06-23,4349.0
2024-07-07,1838.0
2024-07-14,188.0
2024-07-21,5260.0
2024-07-28,1350.0
2024-08-04,831.0
2024-08-11,299.0
2024-08-18,291.0
2024-08-25,3625.9
2024-09-01,180.0
2024-09-08,1114.0
2024-09-15,260.0
2024-09-22,4590.0
2024-09-29,312.0
2024-10-06,2369.0
2024-10-13,1345.0
2024-10-20,65.0
2024-10-27,1205.0
2024-11-03,179.0
2024-11-17,4704.0
2024-11-24,5889.0
2024-12-01,390.0
2024-12-08,45.0
2024-12-15,220.0
2024-12-22,70.0
2024-12-29,330.0
