Date,Time,Title,Category,account,Amount,Currency,Type
01/02/20,56:59.7,Karthik,Bills & Fees,Savings Bank,45,INR,EXPENSE
01/02/20,09:56.0,Juice,Food & Drinks,Cash,40,INR,EXPENSE
01/04/20,25:21.6,Tire,Transport,Cash,10,INR,EXPENSE
01/05/20,57:24.9,Baba,Bills & Fees,Savings Bank,200,INR,EXPENSE
01/13/20,09:08.5,Reward,Bills & Fees,Salary Bank,4,INR,INCOME
01/14/20,07:41.8,Baba,Bills & Fees,Savings Bank,500,INR,EXPENSE
01/18/20,25:39.3,Grocery,Bills & Fees,Salary Bank,30,INR,EXPENSE
01/19/20,25:11.5,Petrol,Transport,Savings Bank,100,INR,EXPENSE
01/21/20,58:59.1,Adjust balance,,Cash,74,INR,EXPENSE
01/25/20,56:52.2,Adjust balance,,Savings Bank,102,INR,EXPENSE
01/25/20,47:08.1,Haircut,Bills & Fees,Savings Bank,152,INR,EXPENSE
01/26/20,46:53.8,Baba,Bills & Fees,Savings Bank,500,INR,EXPENSE
01/29/20,34:25.8,Print,Bills & Fees,Savings Bank,22,INR,EXPENSE
01/30/20,49:38.0,License,Bills & Fees,Savings Bank,300,INR,EXPENSE
01/31/20,48:03.2,Noodles,Food & Drinks,Savings Bank,70,INR,EXPENSE
01/31/20,54:12.6,Adjust balance,,Savings Bank,0,INR,INCOME
01/31/20,53:54.6,Breakfast,Food & Drinks,Cash,30,INR,EXPENSE
02/02/20,53:38.0,Maa,Bills & Fees,Cash,50,INR,EXPENSE
02/04/20,02:44.2,Adjust balance,,Cash,3,INR,EXPENSE
02/05/20,50:27.8,Rent,Bills & Fees,Savings Bank,"3,800.00",INR,EXPENSE
02/05/20,26:20.7,Grocery,Bills & Fees,Cash,171,INR,EXPENSE
02/07/20,26:07.1,Grocery,Bills & Fees,Cash,90,INR,EXPENSE
02/07/20,51:37.3,Adjust balance,,Salary Bank,41,INR,INCOME
02/08/20,50:33.5,Baba,Bills & Fees,Savings Bank,300,INR,EXPENSE
02/08/20,49:26.6,Adjust balance,,Cash,50,INR,EXPENSE
02/09/20,29:24.5,,,Savings Bank,50,INR,EXPENSE
02/11/20,46:15.7,Maa,Bills & Fees,Cash,50,INR,EXPENSE
02/13/20,45:59.4,Breakfast,Food & Drinks,Cash,30,INR,EXPENSE
02/15/20,17:18.5,Breakfast,Food & Drinks,Salary Bank,30,INR,EXPENSE
02/16/20,49:38.3,Netflix,Bills & Fees,Savings Bank,199,INR,EXPENSE
02/16/20,20:57.7,Baba,Bills & Fees,Savings Bank,200,INR,EXPENSE
02/18/20,04:42.4,Lunch,Food & Drinks,Cash,120,INR,EXPENSE
02/19/20,37:19.8,Baba,Bills & Fees,Savings Bank,500,INR,EXPENSE
02/20/20,37:10.7,Recharge,Bills & Fees,Savings Bank,259,INR,EXPENSE
02/26/20,52:37.5,Printouts,Bills & Fees,Salary Bank,13,INR,EXPENSE
02/27/20,27:47.4,Printouts,Bills & Fees,Cash,42,INR,EXPENSE
02/28/20,25:49.0,Biryani 🍚,Food & Drinks,Savings Bank,520,INR,EXPENSE
02/28/20,25:39.3,Breakfast,Food & Drinks,Salary Bank,60,INR,EXPENSE
02/29/20,06:51.0,Baba,Bills & Fees,Savings Bank,"2,000.00",INR,EXPENSE
03/03/20,53:16.9,Adjust balance,,Savings Bank,71,INR,INCOME
03/04/20,30:41.6,Juice,Food & Drinks,Cash,20,INR,EXPENSE
03/04/20,30:35.6,Cab,Transport,Cash,180,INR,EXPENSE
03/09/20,07:00.4,Snacks,Food & Drinks,Cash,30,INR,EXPENSE
03/09/20,06:02.1,Chai,Food & Drinks,Cash,20,INR,EXPENSE
03/11/20,51:00.0,Recharge,Bills & Fees,Savings Bank,266.9,INR,EXPENSE
03/11/20,15:00.8,Curd,Food & Drinks,Cash,25,INR,EXPENSE
03/12/20,13:37.9,Adjust balance,,Cash,30,INR,EXPENSE
03/12/20,12:54.8,Tea,Food & Drinks,Cash,10,INR,EXPENSE
03/14/20,03:54.4,Water,Food & Drinks,Cash,10,INR,EXPENSE
03/15/20,21:47.4,Adjust balance,,Cash,358,INR,EXPENSE
03/18/20,46:47.6,Water,Food & Drinks,Cash,40,INR,EXPENSE
03/21/20,46:14.7,Bus,Transport,Cash,20,INR,EXPENSE
03/23/20,45:25.0,Metro,Transport,Cash,20,INR,EXPENSE
03/23/20,44:58.6,Haldiram,Food & Drinks,Cash,207,INR,EXPENSE
03/24/20,43:37.9,Tickets victoria,Bills & Fees,Cash,100,INR,EXPENSE
03/28/20,43:17.3,Lunch,Food & Drinks,Cash,95,INR,EXPENSE
04/01/20,42:56.4,Ferry,Transport,Cash,50,INR,EXPENSE
04/05/20,42:45.1,Baba,Bills & Fees,Cash,500,INR,EXPENSE
04/06/20,42:09.2,Museum,Bills & Fees,Savings Bank,150,INR,EXPENSE
04/06/20,35:22.5,Bus,Transport,Cash,20,INR,EXPENSE
04/10/20,33:37.9,Metro,Transport,Salary Bank,10,INR,EXPENSE
04/17/20,24:27.1,Grocery,Bills & Fees,Cash,200,INR,EXPENSE
04/17/20,20:46.9,Withdraw,Bills & Fees,Salary Bank,0,INR,TRANSFER
04/18/20,20:10.0,Cab,Transport,Salary Bank,200,INR,EXPENSE
04/22/20,34:00.0,Train,Transport,Salary Bank,20,INR,EXPENSE
